date	value
18-Mar-12	1051
25-Mar-12	1296
1-Apr-12	973
8-Apr-12	3686
15-Apr-12	957
22-Apr-12	1238
29-Apr-12	759
6-May-12	667
13-May-12	905
20-May-12	728
27-May-12	1294
3-Jun-12	1046
10-Jun-12	976
17-Jun-12	1146
24-Jun-12	1495
1-Jul-12	1230
8-Jul-12	1193
15-Jul-12	1112
22-Jul-12	1528
29-Jul-12	1070
5-Aug-12	995
12-Aug-12	1331
19-Aug-12	1136
26-Aug-12	1050
2-Sep-12	1222
9-Sep-12	914
16-Sep-12	888
23-Sep-12	2314
30-Sep-12	1104
7-Oct-12	1236
14-Oct-12	1228
21-Oct-12	1153
28-Oct-12	1128
4-Nov-12	1076
11-Nov-12	880
18-Nov-12	1030
25-Nov-12	1919
2-Dec-12	2160
9-Dec-12	1316
16-Dec-12	1487
23-Dec-12	1870
30-Dec-12	1672
6-Jan-13	2527
13-Jan-13	1583
20-Jan-13	1988
27-Jan-13	1430
3-Feb-13	1568
10-Feb-13	1551
17-Feb-13	1343
24-Feb-13	1498
3-Mar-13	1183
10-Mar-13	1671
17-Mar-13	232
