id,keyword,total_amount,sentiment,neutral
1,good,217,positive,no
2,great,183,positive,no
3,love,172,positive,no
4,new,161,positive,no
5,best,133,positive,no
6,cool,111,positive,no
7,better,104,positive,no
8,app,104,positive,no
9,awesome,99,positive,no
10,laptop,94,positive,no
11,like,78,positive,no
12,really,75,positive,no
13,pretty,71,positive,no
14,looks,65,positive,no
15,nice,63,positive,no
16,amazing,56,positive,no
17,apps,55,positive,no
18,phone,47,positive,no
19,Surface,47,positive,no
20,OS,46,positive,no
21,upgrade,44,positive,no
22,Pro,41,positive,no
23,want,39,positive,no
24,interesting,39,positive,no
25,tablet,39,positive,no
26,PC,38,positive,no
27,beautiful,30,positive,no
28,touch,29,positive,no
29,desktop,29,positive,no
30,loving,28,positive,no
31,screen,28,positive,no
32,Lenovo,26,positive,no
33,experience,24,positive,no
34,user,24,positive,no
35,because,24,positive,no
36,features,23,positive,no
37,MacBook,23,positive,no
38,useful,23,positive,no
39,start,23,positive,no
40,performance,22,positive,no
41,Mac,22,positive,no
42,need,22,positive,no
43,hardware,22,positive,no
44,new,2032,neutral,yes
45,app,1431,neutral,yes
46,Pro,1354,neutral,yes
47,tablet,1310,neutral,yes
48,How,1202,neutral,yes
49,Surface,1198,neutral,yes
50,PC,1155,neutral,yes
51,7,1153,neutral,yes
52,apps,908,neutral,yes
53,laptop,804,neutral,yes
54,upgrade,690,neutral,yes
55,Samsung,663,neutral,yes
56,Start,590,neutral,yes
57,App,586,neutral,yes
58,Tablet,574,neutral,yes
59,free,530,neutral,yes
60,message,476,neutral,yes
61,launch,473,neutral,yes
62,Apps,471,neutral,yes
63,Store,468,neutral,yes
64,Phone,461,neutral,yes
65,HP,459,neutral,yes
66,8waseasy,458,neutral,yes
67,ATIV,450,neutral,yes
68,StaplesTech,446,neutral,yes
69,OS,443,neutral,yes
70,Android,422,neutral,yes
71,tablets,412,neutral,yes
72,sales,412,neutral,yes
73,Google,403,neutral,yes
74,video,400,neutral,yes
75,Lenovo,387,neutral,yes
76,games,387,neutral,yes
77,Free,385,neutral,yes
78,screen,383,neutral,yes
79,need,365,neutral,yes
80,computer,364,neutral,yes
81,phone,356,neutral,yes
82,touch,342,neutral,yes
83,Upgrade,342,neutral,yes
84,Dell,337,neutral,yes
85,desktop,335,neutral,yes
86,PCs,334,neutral,yes
87,CES,306,neutral,yes
88,FREE,306,neutral,yes
89,TheNextWeb,299,neutral,yes
90,Check,298,neutral,yes
91,start,297,neutral,yes
92,Acer,297,neutral,yes
93,install,292,neutral,yes
94,support,288,neutral,yes
95,Skype,277,neutral,yes
96,Apple,270,neutral,yes
97,Touch,269,neutral,yes
98,Download,266,neutral,yes
99,Xbox,249,neutral,yes
100,system,247,neutral,yes
101,Laptop,246,neutral,yes
102,download,240,neutral,yes
103,look,240,neutral,yes
104,iOS,239,neutral,yes
105,YouTube,233,neutral,yes
106,UI,231,neutral,yes
107,surface,223,neutral,yes
108,hate,196,negative,no
109,PC,156,negative,no
110,bad,136,negative,no
111,laptop,136,negative,no
112,shit,112,negative,no
113,sales,106,negative,no
114,sucks,92,negative,no
115,work,84,negative,no
116,fails,74,negative,no
117,gift,70,negative,no
118,start,69,negative,no
119,want,66,negative,no
120,app,66,negative,no
121,confusing,60,negative,no
122,apps,54,negative,no
123,looks,50,negative,no
124,touch,48,negative,no
125,time,45,negative,no
126,OS,45,negative,no
127,Christmas,43,negative,no
128,Acer,42,negative,no
129,stupid,41,negative,no
130,MIT,39,negative,no
131,weak,38,negative,no
132,desktop,37,negative,no
133,menu,36,negative,no
134,upgrade,36,negative,no
135,phone,36,negative,no
136,worst,35,negative,no
137,tablet,35,negative,no
138,pain,34,negative,no
139,competition,34,negative,no
140,fucking,34,negative,no
141,tablets,33,negative,no
142,understand,33,negative,no
143,disappointing,33,negative,no
144,jimmyfallon,32,negative,no
145,install,31,negative,no
146,interface,28,negative,no
147,Surface,28,negative,no
148,installed,26,negative,no
149,system,26,negative,no
150,useless,26,negative,no
151,damn,26,negative,no
