id,keyword,total_amount,sentiment,neutral,type
1,good,217,positive,no,video
2,great,183,positive,no,tweet
3,love,172,positive,no,blog
4,new,161,positive,no,video
5,best,133,positive,no,tweet
6,cool,111,positive,no,video
7,better,104,positive,no,tweet
8,app,104,positive,no,blog
9,awesome,99,positive,no,tweet
10,laptop,94,positive,no,tweet
11,like,78,positive,no,blog
12,really,75,positive,no,video
13,pretty,71,positive,no,tweet
14,looks,65,positive,no,tweet
15,nice,63,positive,no,tweet
16,amazing,56,positive,no,blog
17,apps,55,positive,no,video
18,phone,47,positive,no,tweet
19,Surface,47,positive,no,blog
20,OS,46,positive,no,video
21,upgrade,44,positive,no,video
22,Pro,41,positive,no,tweet
23,want,39,positive,no,tweet
24,interesting,39,positive,no,tweet
25,tablet,39,positive,no,blog
26,PC,38,positive,no,blog
27,beautiful,30,positive,no,tweet
28,touch,29,positive,no,tweet
29,desktop,29,positive,no,tweet
30,loving,28,positive,no,blog
31,screen,28,positive,no,tweet
32,Lenovo,26,positive,no,blog
33,experience,24,positive,no,tweet
34,user,24,positive,no,video
35,because,24,positive,no,tweet
36,features,23,positive,no,blog
37,MacBook,23,positive,no,tweet
38,useful,23,positive,no,tweet
39,start,23,positive,no,blog
40,performance,22,positive,no,tweet
41,Mac,22,positive,no,tweet
42,need,22,positive,no,blog
43,hardware,22,positive,no,video
44,new,2032,neutral,yes,blog
45,app,1431,neutral,yes,tweet
46,Pro,1354,neutral,yes,tweet
47,tablet,1310,neutral,yes,tweet
48,How,1202,neutral,yes,tweet
49,Surface,1198,neutral,yes,blog
50,PC,1155,neutral,yes,tweet
51,7,1153,neutral,yes,video
52,apps,908,neutral,yes,blog
53,laptop,804,neutral,yes,tweet
54,upgrade,690,neutral,yes,tweet
55,Samsung,663,neutral,yes,video
56,Start,590,neutral,yes,tweet
57,App,586,neutral,yes,blog
58,Tablet,574,neutral,yes,tweet
59,free,530,neutral,yes,video
60,message,476,neutral,yes,tweet
61,launch,473,neutral,yes,blog
62,Apps,471,neutral,yes,tweet
63,Store,468,neutral,yes,video
64,Phone,461,neutral,yes,blog
65,HP,459,neutral,yes,tweet
66,8waseasy,458,neutral,yes,tweet
67,ATIV,450,neutral,yes,tweet
68,StaplesTech,446,neutral,yes,tweet
69,OS,443,neutral,yes,blog
70,Android,422,neutral,yes,tweet
71,tablets,412,neutral,yes,tweet
72,sales,412,neutral,yes,blog
73,Google,403,neutral,yes,video
74,video,400,neutral,yes,tweet
75,Lenovo,387,neutral,yes,tweet
76,games,387,neutral,yes,blog
77,Free,385,neutral,yes,tweet
78,screen,383,neutral,yes,tweet
79,need,365,neutral,yes,blog
80,computer,364,neutral,yes,tweet
81,phone,356,neutral,yes,video
82,touch,342,neutral,yes,tweet
83,Upgrade,342,neutral,yes,blog
84,Dell,337,neutral,yes,tweet
85,desktop,335,neutral,yes,tweet
86,PCs,334,neutral,yes,video
87,CES,306,neutral,yes,tweet
88,FREE,306,neutral,yes,blog
89,TheNextWeb,299,neutral,yes,tweet
90,Check,298,neutral,yes,video
91,start,297,neutral,yes,tweet
92,Acer,297,neutral,yes,blog
93,install,292,neutral,yes,video
94,support,288,neutral,yes,blog
95,Skype,277,neutral,yes,tweet
96,Apple,270,neutral,yes,tweet
97,Touch,269,neutral,yes,tweet
98,Download,266,neutral,yes,tweet
99,Xbox,249,neutral,yes,tweet
100,system,247,neutral,yes,blog
101,Laptop,246,neutral,yes,tweet
102,download,240,neutral,yes,tweet
103,look,240,neutral,yes,tweet
104,iOS,239,neutral,yes,blog
105,YouTube,233,neutral,yes,tweet
106,UI,231,neutral,yes,tweet
107,surface,223,neutral,yes,blog
108,hate,196,negative,no,tweet
109,PC,156,negative,no,video
110,bad,136,negative,no,tweet
111,laptop,136,negative,no,tweet
112,shit,112,negative,no,video
113,sales,106,negative,no,tweet
114,sucks,92,negative,no,blog
115,work,84,negative,no,tweet
116,fails,74,negative,no,tweet
117,gift,70,negative,no,tweet
118,start,69,negative,no,blog
119,want,66,negative,no,tweet
120,app,66,negative,no,tweet
121,confusing,60,negative,no,video
122,apps,54,negative,no,blog
123,looks,50,negative,no,tweet
124,touch,48,negative,no,tweet
125,time,45,negative,no,tweet
126,OS,45,negative,no,blog
127,Christmas,43,negative,no,video
128,Acer,42,negative,no,tweet
129,stupid,41,negative,no,tweet
130,MIT,39,negative,no,tweet
131,weak,38,negative,no,tweet
132,desktop,37,negative,no,blog
133,menu,36,negative,no,video
134,upgrade,36,negative,no,tweet
135,phone,36,negative,no,tweet
136,worst,35,negative,no,tweet
137,tablet,35,negative,no,tweet
138,pain,34,negative,no,blog
139,competition,34,negative,no,tweet
140,fucking,34,negative,no,video
141,tablets,33,negative,no,blog
142,understand,33,negative,no,tweet
143,disappointing,33,negative,no,tweet
144,jimmyfallon,32,negative,no,tweet
145,install,31,negative,no,blog
146,interface,28,negative,no,tweet
147,Surface,28,negative,no,video
148,installed,26,negative,no,blog
149,system,26,negative,no,tweet
150,useless,26,negative,no,tweet
151,damn,26,negative,no,blog
